created_at,tweet_favorite_count,tweet_id,tweet_retweet_count,tweet_text,user_tweet_count,user_follower_count,user_following_count
15/9/16 8:02,0,7.76E+17,88,RT @Cocacola_GH: Measuring your glass with a friend‰Ûªs to make sure you had your fair share of Coke. Lol #TastetheFeeling https://t.co/UV1OB‰Û_,102,69,117
15/9/16 7:59,1,7.76E+17,0,@ammabarbiegirl @TheZildjiann #TasteTheFeeling of refreshment while playing video games with your friends! https://t.co/IlGPbKRIrB,56373,71983,18733
15/9/16 7:57,0,7.76E+17,0,@dennisgascon @shannabannn Celebrate your wins w/ COCA-COLA &amp; your fave food! Share a group pic w/ #TasteTheFeeling! https://t.co/QglGARh80O,56373,71983,18733
15/9/16 7:56,0,7.76E+17,0,@grumpy_plant Walang tatalo sa COCA-COLA &amp; your fave food while playing video games w/ the barkada! #TasteTheFeeling https://t.co/MKMvRKOsTY,56373,71983,18733
15/9/16 7:54,0,7.76E+17,0,@IamKai52 @Salonga_JayR Ano ang hinahanap mong meal 'pag in the zone ka? Pair it with a COKE! #TasteTheFeeling https://t.co/6CmOR37xfl,56373,71983,18733
15/9/16 7:49,0,7.76E+17,4,"RT @CocaColaPH: Sabi ni Nikki Go, ‰ÛÏNothing beats 4 cheese pizza and coke!‰Ûù RT if you agree. #TasteTheFeeling https://t.co/DsmI5o5Fzl",97,90,87
15/9/16 7:47,1,7.76E+17,0,@JusteesRamos @denzelhorlador Have a COKE while bonding with your friends! Share a group pic w/ #TasteTheFeeling! https://t.co/zHNlE28WW0,56373,71983,18733
15/9/16 7:46,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,48523,226,588
15/9/16 7:45,2,7.76E+17,0,@MagpantayBertoo @japsueyy Take a short break with COKE! Share your favorite food combo with #TasteTheFeeling. :) https://t.co/0HQSNivKsU,56373,71983,18733
15/9/16 7:44,2,7.76E+17,2,@rivera_ferry @gadyeahknow #TasteTheFeeling of refreshment while playing video games w/ your friends! Pasarapin ang moments w/ a meal &amp; COKE,56373,71983,18733
15/9/16 7:41,0,7.76E+17,0,@nioatrigenio #TasteTheFeeling of refreshment while playing video games with your friends! Share the excitement with a glass of COKE!,56373,71983,18733
15/9/16 7:40,0,7.76E+17,0,@Kylelden Take a short break with COKE! #TasteTheFeeling of refreshment while playing video games with your friends! https://t.co/PiAxlSkKX9,56373,71983,18733
15/9/16 7:37,0,7.76E+17,0,@cdbrgt #TasteTheFeeling of refreshment while playing video games w/ your friends! Share the fun w/ a glass of COKE! https://t.co/SyfHzBjbzv,56373,71983,18733
15/9/16 7:35,0,7.76E+17,0,"@IsniiRocks When the excitement is getting real, bring out the ice-cold COKE! Yayain na ang buong barkada &amp; #TasteTheFeeling of excitement.",56373,71983,18733
15/9/16 7:34,0,7.76E+17,0,"@Laster_Von When the excitement is getting real, bring out the ice-cold COKE! Share the excitement with a glass of COKE! #TasteTheFeeling",56373,71983,18733
15/9/16 7:33,0,7.76E+17,0,@PapaAlbs #TasteTheFeeling of refreshment while playing video games w/ friends! Share the fun w/ a glass of COKE! https://t.co/TLU59VUzH9,56373,71983,18733
15/9/16 7:30,0,7.76E+17,407,RT @CocaCola_GB: Raise your #Coke for #WorldEmojiDay! Show us your favourite emoji! #TasteTheFeeling https://t.co/jk9drOZ9Ew,18645,1907,1242
15/9/16 7:24,0,7.76E+17,0,@bloodyvints Ano'ng meal ang best kainin while hanging out &amp; playing video games w/ pals? Share the fun w/ a glass of COKE! #TasteTheFeeling,56373,71983,18733
15/9/16 7:22,0,7.76E+17,0,@JKarloFTW Take a short break with COKE! Share your favorite food combo with #TasteTheFeeling. :) https://t.co/wisrlQhUnF,56373,71983,18733
15/9/16 7:20,0,7.76E+17,0,@Aidr3N #TasteTheFeeling of refreshment while playing video games w/ pals! Share the excitement w/ a glass of COKE! https://t.co/PnPSmyGIMX,56373,71983,18733
15/9/16 7:12,0,7.76E+17,0,Cherish the love in your life. #TasteTheFeeling with Coca-Cola.,67,6,56
15/9/16 7:03,0,7.76E+17,6,RT @CocaCola_Ind: Grab your Coca-Cola and get ready to #TasteTheFeeling. https://t.co/UKgt6oGsTO,67,6,56
15/9/16 6:58,0,7.76E+17,6212,"RT @SMTOWNGLOBAL: [#STATION] #NCT127 #TasteTheFeeling Music Videohttps://t.co/Pmxwo93UdV",1402,155,508
15/9/16 6:23,0,7.76E+17,1,RT @CocaColaPH: @nicococrunch_ @michikoresuello Take a short break with COKE! Share your favorite food combo w/ #TasteTheFeeling. :) https:‰Û_,5416,333,261
15/9/16 6:14,0,7.76E+17,58,RT @CocaColaPH: Best bonding activity ang playing video games! Ano ang perfect meal with COKE for this moment? #TasteTheFeeling https://t.c‰Û_,27055,575,1131
15/9/16 5:40,0,7.76E+17,0,"Say no more. Just #TasteTheFeeling. #IWorkatCokehttps://t.co/aVNVcenwhe https://t.co/qIH4oHgSdI",48,16,56
15/9/16 5:38,0,7.76E+17,6,RT @CocaCola_Ind: Grab your Coca-Cola and get ready to #TasteTheFeeling. https://t.co/UKgt6oGsTO,48,16,56
15/9/16 5:37,0,7.76E+17,0,"Bringing friends together since 1886. #TasteTheFeeling #IWorkatCokehttps://t.co/M3IjSNjXNG https://t.co/BQ9YzKPqSh",48,16,56
15/9/16 5:37,0,7.76E+17,3,RT @CocaCola_Ind: Thirsty for Coca-Cola?åÊ #TasteTheFeeling https://t.co/8N4Dye6j8M,48,16,56
15/9/16 5:37,0,7.76E+17,2,RT @CocaCola_Ind: No match today! But don't forget to refresh yourself with Coca-Cola. #TasteTheFeeling #EURO2016 https://t.co/0puy4w6Xfc,48,16,56
