"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 13:16:26,FALSE,NA,"781482770157694976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urracing2",89,TRUE,FALSE,NA,NA
"<U+266F><U+25D5> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/qQ68QreApD",FALSE,0,NA,2016-09-29 13:13:52,FALSE,NA,"781482125514121216",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
"#afyon #soda #Sise alanlara bereket versin",FALSE,8,NA,2016-09-29 12:58:48,FALSE,NA,"781478332982591489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Broker_ist",0,FALSE,FALSE,NA,NA
"#Soda makes up only 12% of total sales for Pepsi.. Chips are big but @Sabra and other healthy products are constantly growing.",FALSE,0,NA,2016-09-29 12:58:29,FALSE,NA,"781478254020395008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amarty310",0,FALSE,FALSE,NA,NA
"RT @SODANationWide: Who are we? #SODA was set up by survivor @Sammieb1980 who wanted to reduce isolation so set up and online support group…",FALSE,0,NA,2016-09-29 12:46:28,FALSE,NA,"781475231609327616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","deb_lawrence",6,TRUE,FALSE,NA,NA
"The effects can last a long time after the final incident #SODA knows how important support is https://t.co/ETNOqqCcCK #domesticabuse",FALSE,1,NA,2016-09-29 12:45:01,FALSE,NA,"781474864200871936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SODANationWide",3,FALSE,FALSE,NA,NA
"RT @SandroDemaio: #Soda industry says warning labels don't work.
Yet spent $67 million fighting them.
Smell a rat?
https://t.co/7L3T3wgNG4…",FALSE,0,NA,2016-09-29 12:37:28,FALSE,NA,"781472963732180992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pphamelias",34,TRUE,FALSE,NA,NA
"#ElDíaEstáPara escuchar esto... https://t.co/yR5fv4ylIw #Soda #SodaStereo",FALSE,1,NA,2016-09-29 12:33:29,FALSE,NA,"781471960194772992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yeyi79",0,FALSE,FALSE,NA,NA
"Like an icy #soda #lemonade  @mitchrace @Judy_Cockerton @DonnaFins @annasantoz318 @djkenstone @helenelafleche @gracon27",FALSE,2,"mitchrace",2016-09-29 12:15:38,FALSE,"781279609237143553","781467470863409164","18199478","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LucasBezian",1,FALSE,FALSE,NA,NA
"<U+272F><U+266F> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/QGkBO0bWPW",FALSE,0,NA,2016-09-29 12:13:43,FALSE,NA,"781466987499233280",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
"#soda    yi  saklayin demstim,    yerinde dursun,  zamani gelince açariz",FALSE,17,NA,2016-09-29 12:10:25,FALSE,NA,"781466157798817792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","petrol1971",0,FALSE,FALSE,NA,NA
"Craving #candy or #soda? They could be harder to find in Md. vending machines. - The Washington Post https://t.co/19JzYE4cfg",FALSE,1,NA,2016-09-29 12:01:16,FALSE,NA,"781463852693139456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sodamancan",0,FALSE,FALSE,NA,NA
"Oral damage caused by soda is bad like drug abuse #oral #damage #soda #drug #cocacola #Pepsi https://t.co/9rHFwcNaYJ",FALSE,3,NA,2016-09-29 12:00:03,FALSE,NA,"781463548681596929",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HealthSecretsAc",0,FALSE,FALSE,NA,NA
"#soda 4,20 deneyebilir destek 4,15",FALSE,0,NA,2016-09-29 11:48:59,FALSE,NA,"781460764678823936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caylakborsaci",0,FALSE,FALSE,NA,NA
"That #fizz though.. #jeera #soda #mocktail #fizzy #cool #cumindelight https://t.co/6oz03cOmRs",FALSE,0,NA,2016-09-29 11:41:30,FALSE,NA,"781458879167156225",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","abhiuppi",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 11:37:12,FALSE,NA,"781457796604846081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","djrobbo108",89,TRUE,FALSE,NA,NA
"Pourquoi on trouve pas ces #Fanta en suisse? #soda #can #pineapple #grape #strawberry #kiwi https://t.co/X17Nrjfc2w",FALSE,0,NA,2016-09-29 11:29:26,FALSE,NA,"781455842201722880",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Spiritualkaon",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 11:25:24,FALSE,NA,"781454830313345024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexR1209",89,TRUE,FALSE,NA,NA
"<U+222B><U+2661> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/fPIsPM03c8",FALSE,0,NA,2016-09-29 11:13:34,FALSE,NA,"781451850465837057",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
